Metafile,Thumbnails Found,Screenshots Found,Thumbnails Missing,Screenshots Missing
10,3,3,0,0,
100,2,2,0,0,
1000,3,3,0,0,
1000000,3,3,0,0,
1000004,4,4,0,0,
1000005,5,5,0,0,
1000006,5,5,0,0,
1000007,4,4,0,0,
1000009,5,5,0,0,
1000010,2,0,0,0,
1000011,2,0,0,0,
1000012,4,4,0,0,
1000013,2,0,0,0,
1000015,4,4,0,0,
1000016,3,3,0,0,
1000017,2,0,0,0,
1000018,5,5,0,0,
1000019,5,5,0,0,
1000020,5,5,0,0,
1000021,5,5,0,0,
1000022,5,5,0,0,
1000023,5,5,0,0,
1000024,5,5,0,0,
1000025,5,5,0,0,
1000026,5,5,0,0,
1000027,5,5,0,0,
1000028,5,5,0,0,
1000029,5,5,0,0,
1000030,5,5,0,0,
1000031,5,5,0,0,
1000032,5,5,0,0,
1000033,5,5,0,0,
1000034,5,5,0,0,
1000035,5,5,0,0,
1000036,5,5,0,0,
1000037,5,5,0,0,
1000038,5,5,0,0,
1000039,5,5,0,0,
1000040,5,5,0,0,
1000041,5,5,0,0,
1000042,5,5,0,0,
1000043,5,5,0,0,
1000044,3,3,0,0,
1000045,3,3,0,0,
1000046,0,0,12,12,,com.playlux.app.simplerdpclient/1.0.3/de/images/1/S/conv_tb_simplerdp_connect_de_103.jpg,com.playlux.app.simplerdpclient/1.0.3/de/images/1/S/conv_tb_simplerdp_connect_de_103.jpg,com.playlux.app.simplerdpclient/1.0.3/de/images/1/S/conv_tb_simplerdp_connect_de_103.jpg,com.playlux.app.simplerdpclient/1.0.3/de/images/1/S/conv_tb_simplerdp_connect_de_103.jpg,com.playlux.app.simplerdpclient/1.0.3/de/images/1/S/conv_tb_simplerdp_connect_de_103.jpg,com.playlux.app.simplerdpclient/1.0.3/de/images/1/S/conv_tb_simplerdp_connect_de_103.jpg,com.playlux.app.simplerdpclient/1.0.3/de/images/2/S/conv_tb_simplerdp_desktop_103.jpg,com.playlux.app.simplerdpclient/1.0.3/de/images/2/S/conv_tb_simplerdp_desktop_103.jpg,com.playlux.app.simplerdpclient/1.0.3/de/images/2/S/conv_tb_simplerdp_desktop_103.jpg,com.playlux.app.simplerdpclient/1.0.3/de/images/2/S/conv_tb_simplerdp_desktop_103.jpg,com.playlux.app.simplerdpclient/1.0.3/de/images/2/S/conv_tb_simplerdp_desktop_103.jpg,com.playlux.app.simplerdpclient/1.0.3/de/images/2/S/conv_tb_simplerdp_desktop_103.jpg,com.playlux.app.simplerdpclient/1.0.3/de/images/3/S/conv_tb_simplerdp_help_de_103.jpg,com.playlux.app.simplerdpclient/1.0.3/de/images/3/S/conv_tb_simplerdp_help_de_103.jpg,com.playlux.app.simplerdpclient/1.0.3/de/images/3/S/conv_tb_simplerdp_help_de_103.jpg,com.playlux.app.simplerdpclient/1.0.3/de/images/3/S/conv_tb_simplerdp_help_de_103.jpg,com.playlux.app.simplerdpclient/1.0.3/de/images/3/S/conv_tb_simplerdp_help_de_103.jpg,com.playlux.app.simplerdpclient/1.0.3/de/images/3/S/conv_tb_simplerdp_help_de_103.jpg,com.playlux.app.simplerdpclient/1.0.3/de/images/4/S/conv_tb_simplerdp_desktop_2_103.jpg,com.playlux.app.simplerdpclient/1.0.3/de/images/4/S/conv_tb_simplerdp_desktop_2_103.jpg,com.playlux.app.simplerdpclient/1.0.3/de/images/4/S/conv_tb_simplerdp_desktop_2_103.jpg,com.playlux.app.simplerdpclient/1.0.3/de/images/4/S/conv_tb_simplerdp_desktop_2_103.jpg,com.playlux.app.simplerdpclient/1.0.3/de/images/4/S/conv_tb_simplerdp_desktop_2_103.jpg,com.playlux.app.simplerdpclient/1.0.3/de/images/4/S/conv_tb_simplerdp_desktop_2_103.jpg
1000047,2,0,0,0,
1000048,3,3,0,0,
1000049,2,0,0,0,
1000050,5,5,0,0,
1000051,5,5,0,0,
1000052,4,4,0,0,
1000053,3,3,0,0,
1000054,4,4,0,0,
1000055,4,4,0,0,
1000056,3,3,0,0,
1000057,3,3,0,0,
1000058,2,0,0,0,
1000063,5,5,0,0,
1000066,5,5,0,0,
1000067,4,4,0,0,
1000068,4,4,0,0,
1000070,5,5,0,0,
1000071,2,2,1,1,,com.phonegap.webos.bmicalculatorfree/1.0.0/en/images/1/L/tb_webostablet screenshot2.PNG,com.phonegap.webos.bmicalculatorfree/1.0.0/en/images/1/L/tb_webostablet screenshot2.PNG
1000072,5,5,0,0,
1000073,3,3,0,0,
1000074,5,5,0,0,
1000075,0,0,3,3,,com.lions.adventskalender/1.0.5/de/images/1/L/ph_1.jpg,com.lions.adventskalender/1.0.5/de/images/1/L/ph_1.jpg,com.lions.adventskalender/1.0.5/de/images/2/L/ph_2.png,com.lions.adventskalender/1.0.5/de/images/2/L/ph_2.png,com.lions.adventskalender/1.0.5/de/images/3/L/ph_3.jpg,com.lions.adventskalender/1.0.5/de/images/3/L/ph_3.jpg
1000076,0,0,6,6,,com.rinedog.calgarytraffic/1.0.0/en/images/1/S/conv_tb_screenshot1.png,com.rinedog.calgarytraffic/1.0.0/en/images/1/S/conv_tb_screenshot1.png,com.rinedog.calgarytraffic/1.0.0/en/images/1/S/conv_tb_screenshot1.png,com.rinedog.calgarytraffic/1.0.0/en/images/1/S/conv_tb_screenshot1.png,com.rinedog.calgarytraffic/1.0.0/en/images/2/S/conv_tb_screenshot2.png,com.rinedog.calgarytraffic/1.0.0/en/images/2/S/conv_tb_screenshot2.png,com.rinedog.calgarytraffic/1.0.0/en/images/2/S/conv_tb_screenshot2.png,com.rinedog.calgarytraffic/1.0.0/en/images/2/S/conv_tb_screenshot2.png,com.rinedog.calgarytraffic/1.0.0/en/images/3/S/conv_tb_screenshot3.png,com.rinedog.calgarytraffic/1.0.0/en/images/3/S/conv_tb_screenshot3.png,com.rinedog.calgarytraffic/1.0.0/en/images/3/S/conv_tb_screenshot3.png,com.rinedog.calgarytraffic/1.0.0/en/images/3/S/conv_tb_screenshot3.png
1000077,5,5,0,0,
1000078,3,3,0,0,
1000080,4,4,0,0,
1000081,4,4,0,0,
1000082,2,0,0,0,
1000083,3,3,0,0,
1000085,3,3,0,0,
1000086,4,4,0,0,
1000087,4,4,0,0,
1000088,4,4,0,0,
1000089,4,4,0,0,
1000090,4,4,0,0,
1000091,0,0,0,0,
1000092,5,5,0,0,
1000093,5,5,0,0,
1000094,4,4,0,0,
1000095,4,4,0,0,
1000096,5,5,0,0,
1000097,5,5,0,0,
1000098,4,4,0,0,
1000100,0,0,15,15,,com.datajog.webos/2.4.0/de/images/1/L/320x480_320x480_ph_pre1.png,com.datajog.webos/2.4.0/de/images/1/L/320x480_320x480_ph_pre1.png,com.datajog.webos/2.4.0/de/images/1/S/1024x768_320x480_tb_tp1.png,com.datajog.webos/2.4.0/de/images/1/S/1024x768_320x480_tb_tp1.png,com.datajog.webos/2.4.0/de/images/1/S/1024x768_320x480_tb_tp1.png,com.datajog.webos/2.4.0/de/images/1/S/1024x768_320x480_tb_tp1.png,com.datajog.webos/2.4.0/de/images/2/L/320x480_320x480_ph_pre2.png,com.datajog.webos/2.4.0/de/images/2/L/320x480_320x480_ph_pre2.png,com.datajog.webos/2.4.0/de/images/2/S/1024x768_320x480_tb_tp2.png,com.datajog.webos/2.4.0/de/images/2/S/1024x768_320x480_tb_tp2.png,com.datajog.webos/2.4.0/de/images/2/S/1024x768_320x480_tb_tp2.png,com.datajog.webos/2.4.0/de/images/2/S/1024x768_320x480_tb_tp2.png,com.datajog.webos/2.4.0/de/images/3/L/320x480_320x480_ph_pre3.png,com.datajog.webos/2.4.0/de/images/3/L/320x480_320x480_ph_pre3.png,com.datajog.webos/2.4.0/de/images/3/S/1024x768_320x480_tb_tp3.png,com.datajog.webos/2.4.0/de/images/3/S/1024x768_320x480_tb_tp3.png,com.datajog.webos/2.4.0/de/images/3/S/1024x768_320x480_tb_tp3.png,com.datajog.webos/2.4.0/de/images/3/S/1024x768_320x480_tb_tp3.png,com.datajog.webos/2.4.0/de/images/4/L/320x480_320x480_ph_pre4.png,com.datajog.webos/2.4.0/de/images/4/L/320x480_320x480_ph_pre4.png,com.datajog.webos/2.4.0/de/images/4/S/1024x768_320x480_tb_tp4.png,com.datajog.webos/2.4.0/de/images/4/S/1024x768_320x480_tb_tp4.png,com.datajog.webos/2.4.0/de/images/4/S/1024x768_320x480_tb_tp4.png,com.datajog.webos/2.4.0/de/images/4/S/1024x768_320x480_tb_tp4.png,com.datajog.webos/2.4.0/de/images/5/L/320x480_320x480_ph_pre5.png,com.datajog.webos/2.4.0/de/images/5/L/320x480_320x480_ph_pre5.png,com.datajog.webos/2.4.0/de/images/5/S/1024x768_320x480_tb_tp5.png,com.datajog.webos/2.4.0/de/images/5/S/1024x768_320x480_tb_tp5.png,com.datajog.webos/2.4.0/de/images/5/S/1024x768_320x480_tb_tp5.png,com.datajog.webos/2.4.0/de/images/5/S/1024x768_320x480_tb_tp5.png
1000101,5,5,0,0,
1000102,5,5,0,0,
1000103,3,3,0,0,
1000104,3,3,0,0,
1000105,3,3,0,0,
1000106,3,3,1,1,,com.toondoctor.icalpinup/2.0.0/de/images/1/L/ph_icalpinup_2011-10-11_101619.png,com.toondoctor.icalpinup/2.0.0/de/images/1/L/ph_icalpinup_2011-10-11_101619.png
1000107,0,0,5,5,,com.sven-ziegler.readontouch-phone/1.0.3/en/images/1/L/ph_1.png,com.sven-ziegler.readontouch-phone/1.0.3/en/images/1/L/ph_1.png,com.sven-ziegler.readontouch-phone/1.0.3/en/images/2/L/ph_2.png,com.sven-ziegler.readontouch-phone/1.0.3/en/images/2/L/ph_2.png,com.sven-ziegler.readontouch-phone/1.0.3/en/images/3/L/ph_3.png,com.sven-ziegler.readontouch-phone/1.0.3/en/images/3/L/ph_3.png,com.sven-ziegler.readontouch-phone/1.0.3/en/images/4/L/ph_4.png,com.sven-ziegler.readontouch-phone/1.0.3/en/images/4/L/ph_4.png,com.sven-ziegler.readontouch-phone/1.0.3/en/images/5/L/ph_5.png,com.sven-ziegler.readontouch-phone/1.0.3/en/images/5/L/ph_5.png
1000108,3,3,0,0,
1000109,5,5,0,0,
1000110,5,5,0,0,
1000114,4,4,0,0,
1000116,5,5,0,0,
1000117,5,5,0,0,
1000118,5,5,0,0,
